,chapters_lemmas
gold,6
Longfellow,6
right,6
rock,6
fire,6
street,6
bow,6
foot,6
Andrew,6
laugh,6
servant,6
cupbearer,6
suddenly,6
general,6
strike,6
gentleman,6
brother,6
trouble,6
arm,6
war,6
blow,6
tear,6
bright,6
Boyle,6
nearly,6
mile,6
Richard,6
work,6
bush,5
close,5
new,5
wood,5
frightened,5
spend,5
Washington,5
sidesaddle,5
believe,5
order,5
choose,5
safe,5
Persia,5
Cimabue,5
Tommy,5
Franklin,5
surprised,5
seven,5
awkward,5
nest,5
happen,5
rule,5
cover,5
Jackson,5
fill,5
pay,5
drive,5
understand,5
floor,5
rise,5
scholar,5
fellow,5
Solomon,5
wreath,5
lie,5
Raschid,5
landlord,5
kind,5
drink,5
pull,5
neighbor,5
hotel,5
Farra,5
lady,5
Swift,5
town,5
pleased,5
II,5
agree,5
water,5
hope,5
Wolf,5
stay,5
present,5
track,5
dress,5
gray,5
glad,5
poison,4
powder,4
defend,4
rest,4
rain,4
foolish,4
red,4
Becos,4
punish,4
money,4
sleep,4
rope,4
plainly,4
boom,4
language,4
coat,4
hardly,4
get,4
gently,4
al,4
Sir,4
invite,4
horseback,4
thy,4
will,4
woman,4
high,4
thee,4
loudly,4
fast,4
nag,4
vice,4
green,4
history,4
admire,4
careful,4
Whiz,4
lip,4
cannon,4
common,4
son,4
moment,4
danger,4
Egypt,4
barn,4
mean,4
hurt,4
talk,4
leap,4
monk,4
shout,4
thousand,4
angry,4
William,4
wine,4
wet,4
Media,4
pass,4
mouth,4
food,4
de,4
game,4
funny,4
rabbit,4
straight,4
growl,4
John,4
bite,4
deep,4
slowly,4
Martin,4
listen,4
Farmer,4
alarm,4
guest,4
Elihu,4
pathway,4
keep,4
beat,4
white,4
finish,4
Giotto,4
sailor,4
clothing,3
college,3
certainly,3
Haroun,3
thrashing,3
beginning,3
notice,3
Mansur,3
Sarcas,3
ruler,3
lack,3
evening,3
Psammeticus,3
desk,3
lead,3
bread,3
strange,3
Egyptians,3
dismiss,3
whispering,3
prepare,3
Ethelbald,3
shadow,3
prove,3
bank,3
blacksmith,3
succeed,3
Thomas,3
ashamed,3
pet,3
neck,3
jump,3
footstep,3
eagerly,3
step,3
forest,3
offer,3
Lafayette,3
War,3
Revolutionary,3
sharp,3
ship,3
Lexington,3
Brown,3
Israel,3
sea,3
Samuel,3
inside,3
outside,3
fear,3
quick,3
United,3
jerk,3
States,3
smooth,3
fetch,3
parlor,3
bespatter,3
hunt,3
traveler,3
muddy,3
Planters,3
bell,3
letter,3
study,3
stir,3
puzzle,3
treat,3
window,3
West,3
haired,3
scout,3
midnight,3
thought,3
choke,3
British,3
obey,3
duty,3
skill,3
prisoner,3
precious,3
return,3
Queen,3
board,3
cherry,3
Italy,3
forward,3
ah,3
mount,3
Church,3
North,3
tower,3
hang,3
Florence,3
start,3
serve,3
brush,3
village,3
Parrhasius,3
groom,3
curtain,3
Charlestown,3
shelter,3
pocket,3
garden,3
soft,3
shake,3
schoolhouse,3
subject,3
darkness,3
rough,3
loveth,3
colt,3
pleasant,3
primer,3
afterward,3
question,3
animal,3
Speed,3
feed,3
bed,3
tired,3
spoil,3
fourth,3
Abraham,3
life,3
warm,3
black,3
use,3
Scotland,3
chirp,3
cross,3
wrong,3
one,3
narrow,3
dinner,3
BOY,3
pasture,3
whiz,3
expect,3
family,3
large,3
table,3
wind,3
softly,3
dog,3
march,3
reach,3
orator,3
robin,3
rage,3
speech,3
second,3
paper,3
Hardin,3
Ettrick,3
catch,2
Andy,2
clean,2
mamma,2
scratch,2
left,2
tale,2
gaze,2
allow,2
boot,2
praise,2
Tanner,2
heart,2
deserve,2
shame,2
american,2
receive,2
David,2
winter,2
roan,2
Neighbor,2
favor,2
interested,2
breathing,2
cheep,2
harm,2
Mary,2
dim,2
speed,2
dismissal,2
tick,2
lay,2
matter,2
boil,2
punishment,2
lean,2
able,2
escape,2
quietly,2
wife,2
name,2
seat,2
reason,2
flash,2
storm,2
heavy,2
savage,2
Joe,2
surely,2
space,2
aside,2
push,2
singe,2
cold,2
early,2
academy,2
awake,2
Dan,2
Johnson,2
safety,2
Children,2
Marquis,2
morrow,2
School,2
whisperer,2
rebel,2
climb,2
follow,2
countryman,2
closely,2
deceive,2
build,2
statesman,2
color,2
corner,2
throne,2
Sheba,2
pride,2
hair,2
blue,2
brown,2
reddish,2
backwood,2
hero,2
late,2
skillful,2
instead,2
dare,2
travel,2
elect,2
boast,2
knock,2
artist,2
boat,2
cheek,2
bear,2
sad,2
stoop,2
sail,2
change,2
PAINTER,2
flat,2
air,2
Bondone,2
behave,2
ought,2
drum,2
saddle,2
voice,2
haste,2
Little,2
real,2
railroad,2
soil,2
farm,2
thank,2
gracefully,2
week,2
kindly,2
fun,2
gift,2
creep,2
low,2
carefully,2
crawl,2
happy,2
odd,2
camp,2
South,2
Carolina,2
stone,2
pronounce,2
fighting,2
Charleston,2
grand,2
figure,2
Harris,2
suppose,2
enemy,2
kiss,2
sweet,2
gather,2
knowledge,2
failure,2
save,2
kingdom,2
sword,2
join,2
pencil,2
charcoal,2
short,2
leg,2
drawing,2
shape,2
hammer,2
horseshoe,2
alarmed,2
smith,2
decide,2
Blacksmith,2
chest,2
lantern,2
sound,2
Ethelbert,2
plant,2
visit,2
sun,2
dignity,2
stith,2
oil,2
delight,2
Phrygian,2
poetry,2
flutter,2
parent,2
phrygian,2
learning,2
finger,2
hearing,2
powerful,2
neglect,2
manage,2
pour,2
ugly,2
death,2
deal,2
Ethelred,2
hungry,2
volume,2
act,2
CALIPH,2
saying,2
waste,2
court,2
enjoy,2
reading,2
musician,2
later,2
wear,2
cup,2
mistake,2
SHEPHERD,2
joy,2
cluster,2
thick,2
south,2
toy,2
lea,2
fourteen,2
foolishly,2
tomorrow,2
land,2
portion,2
taste,2
divide,2
Water,2
liberty,2
belong,2
sing,2
Burritt,2
store,2
Bagdad,2
guard,2
asleep,2
reward,2
broad,2
Felix,2
repeat,2
uniform,2
Great,2
honored,2
prize,2
Phrygians,2
recite,2
nation,2
seek,2
wonderfully,2
Brother,2
palace,2
forbid,2
break,2
hello,1
perfect,1
simple,1
pluck,1
artificial,1
false,1
stroke,1
chin,1
frown,1
move,1
vine,1
uneasily,1
Quakers,1
dainty,1
curl,1
touch,1
wake,1
hearth,1
slight,1
truly,1
lonesome,1
ticking,1
waken,1
noise,1
cradle,1
errand,1
useful,1
overbearing,1
golden,1
Pennsylvania,1
Jerusalem,1
temple,1
please,1
unnoticed,1
III,1
appear,1
honey,1
climbing,1
grace,1
napkin,1
thorny,1
drip,1
daintily,1
difference,1
power,1
point,1
fife,1
contend,1
bent,1
astonishment,1
startle,1
giotto,1
quarrel,1
BON,1
beam,1
nose,1
claim,1
attend,1
employ,1
ma,1
onward,1
honest,1
company,1
stick,1
charred,1
graze,1
discourage,1
respect,1
glee,1
doorstep,1
roll,1
rank,1
beneath,1
grief,1
General,1
declare,1
Tom,1
shore,1
peace,1
Father,1
careless,1
Country,1
Mamoun,1
commonly,1
alike,1
glory,1
BEES,1
helpless,1
Poison,1
custom,1
worthless,1
fat,1
important,1
sparkle,1
remain,1
riddle,1
cunning,1
bravo,1
solve,1
Bravo,1
heartily,1
test,1
painting,1
perish,1
queerly,1
ripe,1
trembling,1
Cannon,1
BIRD,1
mistaken,1
thirst,1
represent,1
fruit,1
peck,1
American,1
pa,1
quench,1
merely,1
dance,1
forgot,1
basket,1
ear,1
gentle,1
busy,1
bald,1
set,1
journey,1
scarcely,1
pity,1
clothe,1
homemade,1
stuff,1
coarse,1
glove,1
fuss,1
bashful,1
cause,1
abroad,1
leafy,1
hunting,1
ethelred,1
bert,1
Boys,1
Young,1
priest,1
train,1
hawk,1
memory,1
rightly,1
mate,1
arrow,1
fair,1
education,1
slender,1
Stith,1
exeter,1
sturdy,1
bother,1
die,1
cost,1
schoolmaster,1
favorite,1
Miller,1
rod,1
uneasy,1
possible,1
birch,1
sobbing,1
sternly,1
Cheep,1
branch,1
proudly,1
astonish,1
disgrace,1
sorry,1
squarely,1
suffer,1
unruly,1
deliberately,1
New,1
angrily,1
Green,1
prevent,1
afternoon,1
pen,1
middle,1
report,1
scarce,1
LEARNED,1
bold,1
PRINCE,1
Learned,1
vex,1
spare,1
determined,1
Connecticut,1
Britain,1
roadside,1
joyous,1
unlock,1
music,1
handsome,1
jeez,1
trust,1
ahead,1
grove,1
cuddle,1
hunger,1
endure,1
plain,1
feeble,1
Long,1
CUPBEARER,1
Americans,1
YOUNG,1
thirteen,1
laden,1
dancing,1
cabinet,1
likely,1
share,1
offended,1
jolly,1
overjoyed,1
displeased,1
expense,1
cress,1
meat,1
partake,1
compare,1
Lord,1
visitor,1
dancer,1
Wests,1
fault,1
obtain,1
note,1
coated,1
knight,1
gash,1
knuckle,1
easy,1
affair,1
aloud,1
Congress,1
judge,1
page,1
supreme,1
Tennessee,1
appoint,1
army,1
lastly,1
LAD,1
keeping,1
sneer,1
READ,1
hit,1
blaze,1
worth,1
surround,1
cozy,1
trifle,1
inquire,1
Harrow,1
haughty,1
Englishman,1
age,1
sky,1
chirping,1
cloud,1
demand,1
slim,1
pool,1
Baltimore,1
landing,1
Listen,1
amuse,1
melancholy,1
blindness,1
Aaron,1
arabian,1
Nights,1
interesting,1
own,1
RIDE,1
different,1
emotion,1
english,1
unjust,1
law,1
candy,1
slave,1
taxis,1
jingle,1
oppress,1
copper,1
weep,1
bargain,1
WHISTLE,1
doer,1
decorate,1
rare,1
ETTRICK,1
Arabia,1
Ben,1
midst,1
Abul,1
Atayah,1
maker,1
thinker,1
price,1
describe,1
glorious,1
thyself,1
lofty,1
perform,1
dozen,1
alas,1
thou,1
wilt,1
yellow,1
Village,1
persuade,1
rouse,1
clatter,1
hoofs,1
redcoat,1
neat,1
axis,1
farmhouse,1
spread,1
pupil,1
ring,1
Summer,1
print,1
discover,1
burn,1
courthouse,1
Friday,1
Battle,1
Lane,1
Love,1
gunpowder,1
France,1
today,1
loose,1
loved,1
riverside,1
sup,1
watcher,1
secretly,1
hot,1
Watch,1
pot,1
wash,1
Susie,1
rot,1
beating,1
clear,1
shouting,1
moon,1
form,1
church,1
cellar,1
rub,1
spot,1
newspaper,1
stirrup,1
gem,1
glitter,1
ceiling,1
grateful,1
anxious,1
library,1
Arabs,1
Caliph,1
fond,1
pleasing,1
Thalibi,1
thal,1
creature,1
wealth,1
arab,1
sew,1
division,1
patch,1
moan,1
beard,1
lest,1
scatter,1
groan,1
miss,1
borrow,1
meadow,1
wall,1
mow,1
SONG,1
keeper,1
blackbird,1
hawthorn,1
bloom,1
sweetest,1
nestling,1
flee,1
mower,1
cleanest,1
prose,1
hay,1
trace,1
homeward,1
Shepherd,1
hazel,1
steepest,1
nut,1
maiden,1
banter,1
mercy,1
count,1
outright,1
earth,1
delighted,1
hut,1
usual,1
supper,1
lightning,1
milk,1
thunder,1
meaning,1
hilltop,1
conclude,1
rush,1
hundred,1
race,1
readily,1
HUMILITY,1
landholder,1
ha,1
roon,1
grandest,1
business,1
east,1
human,1
healthy,1
kindness,1
treasurer,1
builder,1
huddle,1
ravine,1
edge,1
side,1
Morning,1
Nile,1
grain,1
cattle,1
search,1
sam,1
kus,1
sight,1
west,1
permit,1
person,1
bid,1
valley,1
COMPOSITION,1
La,1
fa,1
intend,1
Mossback,1
suit,1
haymow,1
prayeth,1
working,1
class,1
Lee,1
Robert,1
Tavern,1
lodge,1
horseman,1
clodhopper,1
spatter,1
Dick,1
tiptop,1
Sally,1
dunce,1
happily,1
pardon,1
loud,1
God,1
trout,1
spell,1
trunk,1
Richmond,1
defeat,1
LANDLORD,1
MISTAKE,1
Adams,1
People,1
highway,1
crook,1
oblige,1
pair,1
PIECE,1
saddlebag,1
ease,1
clung,1
car,1
went,1
jolt,1
mire,1
expose,1
weather,1
turmoil,1
amid,1
duck,1
fledge,1
polite,1
hint,1
tip,1
Jonathan,1
writer,1
Gulliver,1
SEA,1
lift,1
trample,1
willing,1
lately,1
tiny,1
pick,1
admiral,1
settle,1
trading,1
uncle,1
Halt,1
headstrong,1
determine,1
shilling,1
fork,1
purse,1
politely,1
roar,1
deed,1
partridge,1
sporting,1
shoot,1
admirer,1
pleasure,1
dash,1
quail,1
roughly,1
toss,1
complain,1
stern,1
deliver,1
message,1
messenger,1
block,1
compliment,1
accept,1
Duke,1
intent,1
yette,1
skulk,1
breed,1
calf,1
browse,1
quiver,1
lucky,1
WOLF,1
pitchfork,1
ax,1
brook,1
win,1
clasp,1
mischief,1
strive,1
toe,1
forefoot,1
trap,1
guess,1
urge,1
Stark,1
monster,1
morn,1
hiding,1
wave,1
frisk,1
Everett,1
stammer,1
lisping,1
excuse,1
smiling,1
shade,1
buzz,1
deeply,1
squirrel,1
moral,1
shaggy,1
hopping,1
wilder,1
useless,1
dolt,1
claws,1
drag,1
peep,1
breath,1
firmly,1
joke,1
distance,1
hillside,1
press,1
trumpet,1
trot,1
impatient,1
risk,1
shoeing,1
hither,1
thither,1
cheer,1
foe,1
spur,1
Pray,1
aid,1
halfway,1
stony,1
lamed,1
stumble,1
rider,1
heavily,1
lame,1
gallop,1
fit,1
iron,1
bar,1
advance,1
killing,1
schoolmate,1
part,1
hidden,1
opening,1
hole,1
tie,1
Minister,1
waist,1
easily,1
knee,1
sheet,1
raise,1
load,1
dead,1
curtsy,1
HORSESHOE,1
nails,1
Shoe,1
conduct,1
