,chapters_lemmas
trade,3
laugh,3
perceive,3
endeavour,3
likewise,3
ease,3
worth,3
suit,3
lose,3
protest,3
circumstance,3
ancle,3
intention,3
instrument,3
strike,3
work,3
eagerly,3
performance,3
natural,3
thought,3
censure,3
tempt,3
surprised,3
true,3
easily,3
pound,3
complacency,3
conceited,3
choose,3
creature,3
drink,3
judgment,3
song,3
mistaken,3
converse,3
evident,3
public,3
gratitude,3
truth,3
principal,3
niece,3
Aye,3
despise,3
teaze,3
drawing,3
act,3
decline,3
petticoat,3
deep,3
reflection,3
astonishment,3
increase,3
joy,3
readily,3
pleased,3
rapture,3
excellent,3
door,3
enquiry,3
description,3
parlour,3
exercise,3
dirty,3
report,3
highly,3
extremely,3
amusement,3
forget,3
fit,3
news,3
view,3
property,3
impatiently,3
England,3
week,3
justice,3
flatter,3
writing,3
new,3
inclination,3
preference,3
quickness,3
vex,3
compassion,3
nerve,3
mistake,3
suffer,3
depend,3
mixture,3
recover,3
part,3
comply,3
possess,3
music,3
boast,3
admit,3
collection,3
fortunate,3
amuse,3
fear,3
dispatch,3
defer,3
pronounce,3
entrance,3
company,3
connection,3
danger,3
Louisa,3
haste,3
comfort,3
relation,3
lodging,2
length,2
excuse,2
offend,2
favour,2
ache,2
eat,2
proposal,2
interesting,2
guess,2
advisable,2
persuasion,2
vast,2
hurry,2
miserable,2
remark,2
regimental,2
bottle,2
patience,2
cover,2
net,2
purse,2
apply,2
ready,2
instantly,2
directly,2
astonish,2
propriety,2
improvement,2
mortify,2
rich,2
knowing,2
vain,2
real,2
sex,2
forward,2
art,2
convinced,2
Pride,2
resolve,2
treatment,2
intricate,2
beg,2
occupy,2
pray,2
humility,2
carelessness,2
distance,2
indirect,2
proceed,2
precipitance,2
attorney,2
Bennets,2
sweetness,2
commendation,2
accord,2
jump,2
check,2
Nay,2
finish,2
reel,2
interest,2
affront,2
pen,2
fast,2
recent,2
render,2
politeness,2
point,2
forte,2
contrive,2
wrong,2
estimable,2
command,2
amusing,2
delicate,2
judge,2
poetry,2
stout,2
lest,2
shop,2
slowly,2
intelligent,2
James,2
seat,2
usually,2
except,2
piano,2
influence,2
farm,2
aware,2
acknowledgment,2
hold,2
contempt,2
strange,2
politely,2
complexion,2
severe,2
provoke,2
feverish,2
generally,2
silently,2
assemble,2
solicitude,2
scheme,2
apothecary,2
force,2
advise,2
polished,2
horseback,2
engross,2
yesterday,2
capital,2
spring,2
illness,2
die,2
contrary,2
resolution,2
reach,2
injure,2
application,2
dirt,2
hint,2
activity,2
silent,2
insist,2
reason,2
impatient,2
accomplishment,2
hard,2
require,2
repair,2
field,2
tête,2
concern,2
sound,2
companion,2
reader,2
desirable,2
lie,2
fellow,2
undoubtedly,2
buy,2
safe,2
possibility,2
dark,2
opportunity,2
Caroline,2
game,2
height,2
conceal,2
anybody,2
impertinent,2
composure,2
happen,2
Scotch,2
foolish,2
avoid,2
convert,2
loo,2
defect,2
summon,2
original,2
anxiety,2
prefer,2
impertinence,2
perform,2
aloud,2
style,2
marriage,2
wild,2
lead,2
enable,2
flow,2
whisper,2
speech,2
prevent,2
Cheapside,2
Mama,2
picture,2
able,2
escape,2
unaffected,2
gallantry,2
surprise,2
seven,2
affect,2
complete,2
grieve,2
breeding,2
happy,2
solace,2
instead,2
consist,2
share,2
altogether,2
set,2
rudeness,2
shocking,2
extraordinary,2
arrival,2
disconcert,2
human,2
discretion,2
sight,2
power,2
ascertain,2
deficient,2
fact,2
disposed,2
morrow,2
piece,2
sense,2
objection,2
coat,2
ride,2
north,2
unable,2
arrive,2
following,2
relate,2
seek,2
habit,2
decide,2
gratify,2
reserve,2
distinguish,2
quality,2
contrast,2
story,2
violent,2
surpass,2
quick,2
abuse,2
fastidious,2
poor,2
old,2
insupportable,2
consideration,2
detest,2
hate,2
consent,2
angry,2
learn,2
excessively,2
feature,2
noble,2
determined,2
account,2
understanding,2
dress,2
elegant,2
figure,2
village,2
disgust,2
fourth,2
King,2
difficult,2
Derbyshire,2
event,2
hearty,2
step,2
press,2
sick,2
actually,2
invite,2
intelligence,2
choice,2
county,2
office,2
skill,2
unlucky,2
easiness,2
strength,2
generation,2
anxious,2
establish,2
distant,2
lay,2
possession,2
supposition,2
conjecture,2
attack,2
friendship,2
favourable,2
assistance,2
dancing,2
respectable,2
characteristic,2
pleasanter,2
rank,2
fond,2
greatly,2
restoration,1
paltry,1
Madam,1
device,1
walker,1
insufficient,1
removal,1
chiefly,1
develope,1
meanness,1
condescend,1
clothe,1
VIII,1
captivation,1
bear,1
affinity,1
undervalue,1
complaint,1
inattention,1
cunning,1
extensive,1
reading,1
information,1
introduction,1
blowsy,1
untidy,1
hair,1
thankfully,1
capacity,1
elegance,1
civility,1
describe,1
united,1
injustice,1
imply,1
bitter,1
scamper,1
nonsensical,1
stress,1
trespass,1
experience,1
despicable,1
direction,1
past,1
wretchedness,1
pour,1
duet,1
supper,1
relief,1
housekeeper,1
odd,1
IX,1
alarming,1
chief,1
housemaid,1
amendment,1
content,1
quickly,1
accompany,1
apparent,1
health,1
retire,1
carry,1
restore,1
enjoyment,1
urge,1
service,1
eminent,1
extract,1
ragout,1
physician,1
caprice,1
dish,1
adjust,1
uncertain,1
indolent,1
intruder,1
sorry,1
decidedly,1
uncomfortable,1
use,1
sarcastic,1
mirth,1
tone,1
inch,1
somebody,1
jot,1
tear,1
fill,1
heartily,1
heaven,1
scold,1
build,1
model,1
finer,1
sell,1
mud,1
contain,1
imitation,1
wholly,1
aside,1
station,1
low,1
deign,1
serve,1
hypocritical,1
idle,1
benefit,1
afford,1
fetch,1
vulgar,1
renewal,1
tenderness,1
dining,1
coffee,1
poorly,1
indulge,1
late,1
asleep,1
assent,1
stair,1
venture,1
circumspection,1
lessen,1
singular,1
Impossible,1
materially,1
fretfully,1
nurse,1
excessive,1
stare,1
selfish,1
emphatic,1
range,1
faithful,1
assistant,1
esteem,1
thorough,1
nervous,1
singing,1
modern,1
exhibition,1
inclined,1
exact,1
language,1
discontent,1
expense,1
exclamation,1
voice,1
hide,1
gown,1
substantial,1
abominable,1
independence,1
mama,1
dozen,1
resentfully,1
brighten,1
profuse,1
amazing,1
suddenly,1
paint,1
hat,1
skreens,1
adventure,1
trim,1
meaning,1
disclose,1
inform,1
list,1
extent,1
II,1
skreen,1
estimation,1
decorum,1
exquisite,1
conceive,1
ah,1
earnestly,1
arrange,1
precision,1
appertain,1
intimacy,1
subsist,1
comparative,1
size,1
weight,1
comparison,1
deference,1
aweful,1
especially,1
Sunday,1
offended,1
Park,1
warmly,1
resent,1
indignity,1
expostulation,1
dispute,1
thankful,1
sacrifice,1
rightful,1
indulgence,1
alacrity,1
argue,1
change,1
ordinary,1
flat,1
Monday,1
undone,1
assume,1
needless,1
celerity,1
conduct,1
dependant,1
mount,1
month,1
prove,1
exceedingly,1
denial,1
discuss,1
rashness,1
atone,1
obstinacy,1
adhere,1
explain,1
representation,1
delay,1
merit,1
conviction,1
requester,1
occur,1
polite,1
negative,1
panegyric,1
frequently,1
domestic,1
portrait,1
gallery,1
profession,1
painter,1
colour,1
shape,1
lash,1
copy,1
confusion,1
abominably,1
disengage,1
arm,1
path,1
wide,1
avenue,1
laughingly,1
charmingly,1
uncommon,1
picturesque,1
spoil,1
bye,1
gaily,1
rejoice,1
ramble,1
propose,1
conceit,1
border,1
amazed,1
reprehensible,1
pain,1
approbation,1
italian,1
vary,1
charm,1
seize,1
surround,1
overthrow,1
cheat,1
premeditated,1
archness,1
cure,1
bewitch,1
inferiority,1
jealous,1
recovery,1
rid,1
try,1
guest,1
alliance,1
shrubbery,1
tongue,1
compass,1
laudable,1
imperfection,1
exception,1
result,1
envy,1
trust,1
partiality,1
Gardiner,1
verse,1
overcome,1
efficacy,1
drive,1
food,1
surely,1
healthy,1
nourish,1
strong,1
thin,1
scrupulous,1
sonnet,1
starve,1
ensue,1
tremble,1
comer,1
expose,1
apology,1
trouble,1
unaffectedly,1
graciousness,1
pity,1
marrying,1
differently,1
alter,1
sweetest,1
prospect,1
gravel,1
lease,1
pitiful,1
necessarily,1
ignorant,1
studi,1
bit,1
confine,1
unvarying,1
gain,1
pie,1
victory,1
triumph,1
blush,1
mistook,1
variety,1
throw,1
direct,1
genteel,1
important,1
mouth,1
mince,1
signal,1
tax,1
possessor,1
favourite,1
odious,1
lot,1
Pray,1
harp,1
infinitely,1
Grantley,1
tiresome,1
January,1
rule,1
careless,1
imaginable,1
blot,1
rapidly,1
convey,1
correspondent,1
disarm,1
reproof,1
deceitful,1
Oh,1
Michaelmas,1
modesty,1
Morris,1
rapidity,1
execution,1
prize,1
pretend,1
unison,1
dialogue,1
witticism,1
animal,1
assurance,1
abruptly,1
remind,1
shameful,1
sudden,1
ear,1
engagement,1
shame,1
depart,1
prevail,1
invalid,1
curious,1
establishment,1
watch,1
progress,1
thinking,1
repeatedly,1
message,1
piquet,1
needlework,1
perpetual,1
evenness,1
unconcern,1
expressive,1
stocking,1
testify,1
conceite,1
Commerce,1
IV,1
unfold,1
success,1
chapter,1
down,1
twelvemonth,1
endure,1
known,1
similar,1
advance,1
unlike,1
refinement,1
vexation,1
horrid,1
exaggeration,1
bitterness,1
branch,1
criticise,1
clear,1
finery,1
discovery,1
interrupt,1
detect,1
un,1
Vingt,1
cautious,1
appetite,1
disadvantage,1
guarded,1
hasty,1
consolation,1
fault,1
apt,1
attachment,1
Dear,1
freely,1
encouragement,1
stupider,1
simpleton,1
Remember,1
partial,1
difference,1
tolerably,1
mixed,1
secure,1
leisure,1
adopt,1
reasonableness,1
possibly,1
represent,1
critical,1
failure,1
symmetry,1
cool,1
stranger,1
expectation,1
splendid,1
entreaty,1
raise,1
curiosity,1
regardless,1
inhabitant,1
display,1
genius,1
quieter,1
pedantic,1
excellence,1
pleasantly,1
concerto,1
ridiculous,1
irish,1
playful,1
cordial,1
indignation,1
mode,1
exclusion,1
waste,1
swell,1
breath,1
lace,1
familiar,1
light,1
asserting,1
fashionable,1
playfulness,1
sprain,1
God,1
sixth,1
satirical,1
approach,1
fifth,1
defy,1
Maria,1
energetic,1
enquire,1
admired,1
disappoint,1
musical,1
invaluable,1
performer,1
persevering,1
gravely,1
glance,1
saying,1
honestly,1
impose,1
universally,1
openness,1
endear,1
supercilious,1
opposition,1
inoffensive,1
friendly,1
obliging,1
presentation,1
courteous,1
valuable,1
steady,1
owner,1
satisfy,1
House,1
communicate,1
recommendation,1
accidental,1
preside,1
tenant,1
remainder,1
decided,1
overhearing,1
doubtful,1
manor,1
elate,1
solely,1
provide,1
ductility,1
stiffness,1
formality,1
attentive,1
offence,1
continually,1
authorise,1
breed,1
haughty,1
means,1
rise,1
knighthood,1
mayoralty,1
distinction,1
strongly,1
residence,1
market,1
reliance,1
firm,1
denominate,1
period,1
Lodge,1
dissatisfied,1
unshackle,1
liberty,1
misfortune,1
blind,1
pack,1
unassailed,1
wine,1
pliancy,1
observation,1
boy,1
calculate,1
VI,1
intolerable,1
superciliousness,1
belong,1
value,1
arise,1
probability,1
ostentation,1
candid,1
candour,1
affectation,1
unite,1
folly,1
uniform,1
cheerfulness,1
guard,1
suspicion,1
foxhound,1
approve,1
lip,1
synonimously,1
nearly,1
inherit,1
acquire,1
memory,1
impressed,1
hack,1
safely,1
deeply,1
meanly,1
entitle,1
associate,1
forgive,1
seminary,1
pique,1
solidity,1
failing,1
private,1
prone,1
cherish,1
educate,1
score,1
imaginary,1
Vanity,1
enjoy,1
coldly,1
unwillingly,1
impute,1
cheerful,1
prognostic,1
uneasy,1
intermission,1
lucky,1
blue,1
contrivance,1
wear,1
dearest,1
FIND,1
unwell,1
wet,1
withdraw,1
window,1
upper,1
alarmed,1
sore,1
throat,1
somewhat,1
dangerous,1
happily,1
pursuit,1
dying,1
People,1
extort,1
oftener,1
spare,1
coach,1
smart,1
colonel,1
nay,1
Watson,1
Clarke,1
start,1
footman,1
quiet,1
sparkle,1
fly,1
Hertfordshire,1
compassionate,1
consequently,1
à,1
quarrel,1
receipt,1
CAROLINE,1
BINGLEY,1
Dining,1
housekeeping,1
black,1
Hursts,1
theirs,1
trifling,1
alternative,1
crown,1
brilliancy,1
justify,1
favourably,1
sleep,1
stoutly,1
withhold,1
alarm,1
inconvenience,1
treat,1
amend,1
shut,1
shewed,1
fatigue,1
examine,1
patient,1
joke,1
bed,1
draught,1
persuade,1
symptom,1
tumult,1
acutely,1
absent,1
clock,1
III,1
divide,1
wonderfully,1
sufficient,1
motive,1
benevolence,1
impulse,1
guide,1
exertion,1
proportion,1
youngest,1
elude,1
cross,1
surmise,1
pace,1
stile,1
puddle,1
weary,1
angel,1
glow,1
warmth,1
ingenious,1
bareface,1
create,1
weather,1
incredible,1
satisfactory,1
red,1
differ,1
coincide,1
scarcity,1
cruel,1
deny,1
resentment,1
inducement,1
complaisance,1
archly,1
resistance,1
accost,1
reverie,1
annoyed,1
insipidity,1
noise,1
nothingness,1
stricture,1
totally,1
sharpen,1
agreeably,1
meditate,1
pair,1
bestow,1
inspire,1
intrepidity,1
occasionally,1
excel,1
shake,1
rapid,1
Come,1
vogue,1
savage,1
round,1
delightfully,1
beheld,1
adept,1
science,1
inconsiderable,1
sir,1
proper,1
kingdom,1
conclude,1
bow,1
dispose,1
instant,1
punishment,1
notion,1
gallant,1
refuse,1
stupid,1
discomposure,1
entreat,1
grave,1
imagination,1
matrimony,1
sentiment,1
furnish,1
circulation,1
mien,1
militia,1
regiment,1
winter,1
quarter,1
productive,1
name,1
secret,1
source,1
unknown,1
animation,1
worthless,1
oppose,1
looking,1
ensign,1
effusion,1
coolly,1
collect,1
silliest,1
cousin,1
slightingly,1
number,1
bare,1
handsomer,1
amiable,1
vacant,1
unreserved,1
wit,1
compare,1
VII,1
unfortunately,1
entail,1
default,1
heir,1
male,1
unworthy,1
ample,1
forbid,1
deficiency,1
save,1
clerk,1
convenient,1
please,1
popularity,1
thither,1
duty,1
tide,1
milliner,1
frequent,1
couple,1
